137,哈利·波特与火焰杯,2005,8.8,627142
138,傲慢与偏见,2005,8.7,766336
139,玛丽和马克思,2009,8.9,412602
140,釜山行,2016,8.6,1158729
141,神偷奶爸,2010,8.6,919386
142,被解救的姜戈,2012,8.8,587835
143,告白,2010,8.8,654575
144,新世界,2013,8.9,408020
145,大鱼,2003,8.8,552267
146,哪吒闹海,1979,9.2,249098
147,射雕英雄传之东成西就,1993,8.7,612329
148,阳光姐妹淘,2011,8.8,577651
149,我是山姆,2001,9.0,326605
150,头号玩家,2018,8.7,1324410
151,模仿游戏,2014,8.8,624757
152,喜宴,1993,9.0,345620
153,恐怖直播,2013,8.7,631769
154,血战钢锯岭,2016,8.7,761740
155,七武士,1954,9.3,189884
156,花样年华,2000,8.7,581474
157,九品芝麻官,1994,8.7,644686
158,头脑特工队,2015,8.8,587620
159,黑客帝国3：矩阵革命,2003,8.8,432716
160,色，戒,2007,8.6,760545
161,茶馆,1982(中国大陆),9.5,129407
162,惊魂记,1960,9.0,277544
163,电锯惊魂,2004,8.7,512166
164,三块广告牌,2017,8.7,795922
165,你的名字。,2016,8.5,1344205
166,达拉斯买家俱乐部,2013,8.8,438615
167,疯狂原始人,2013,8.7,813590
168,卢旺达饭店,2004,8.9,318175
169,心迷宫,2014,8.7,500964
170,上帝之城,2002,9.0,292981
171,谍影重重3,2007,8.8,404259
172,英雄本色,1986,8.6,515878
173,风之谷,1984,8.9,344407
174,纵横四海,1991,8.8,406266
175,海街日记,2015,8.8,430141
176,绿里奇迹,1999,8.9,316068
177,爱在午夜降临前,2013,8.9,382259
178,记忆碎片,2000,8.7,583091
179,岁月神偷,2010,8.7,562219
180,忠犬八公物语,1987,9.2,187369
181,荒蛮故事,2014,8.8,428704
182,疯狂的石头,2006,8.6,791480
183,爆裂鼓手,2014,8.7,565695
184,小偷家族,2018,8.7,789542
185,无敌破坏王,2012,8.7,518479
186,雨中曲,1952,9.1,213276
187,贫民窟的百万富翁,2008,8.6,725363
188,冰川时代,2002,8.6,593216
189,2001太空漫游,1968,8.9,308724
190,东邪西毒,1994,8.6,557056
191,背靠背，脸对脸,1994,9.5,121995
192,无间道2,2003,8.7,456293
193,恐怖游轮,2009,8.5,826407
194,小丑,2019,8.7,970981
195,真爱至上,2003,8.6,713710
196,你看起来好像很好吃,2010,8.9,322437
197,遗愿清单,2007,8.7,438713
198,牯岭街少年杀人事件,1991,8.9,283997
199,黑天鹅,2010,8.6,761882
200,魔女宅急便,1989,8.7,441918
201,东京教父,2003,9.0,215508
202,大佛普拉斯,2017,8.7,434146
203,可可西里,2004,8.9,292752
204,心灵奇旅,2020,8.7,934930
205,城市之光,1931,9.3,139605
206,雨人,1988,8.7,391729
207,恋恋笔记本,2004,8.6,647395
208,源代码,2011,8.5,809568
209,初恋这件小事,2010,8.5,957463
210,海边的曼彻斯特,2016,8.6,506064
211,虎口脱险,1966,8.9,246673
212,人工智能,2001,8.7,429503
213,萤火虫之墓,1988,8.7,395108
214,波西米亚狂想曲,2018,8.6,581186
215,青蛇,1993,8.6,505697
216,罗生门,1950,8.8,302618
217,终结者2：审判日,1991,8.8,330270
218,疯狂的麦克斯4：狂暴之路,2015,8.7,508919
219,新龙门客栈,1992,8.7,427283
220,奇迹男孩,2017,8.6,537794
221,千钧一发,1997,8.8,283838
222,二十二,2015,8.7,284702
223,无耻混蛋,2009,8.6,457675
224,崖上的波妞,2008,8.6,472243
225,彗星来的那一夜,2013,8.5,551877
226,房间,2015,8.8,359999
227,血钻,2006,8.7,367000
228,黑客帝国2：重装上阵,2003,8.7,392525
229,步履不停,2008,8.8,268889
230,魂断蓝桥,1940,8.8,268173
231,战争之王,2005,8.7,354676
232,末路狂花,1991,8.9,236302
233,爱乐之城,2016,8.4,855346
234,花束般的恋爱,2021,8.6,562693
235,火星救援,2015,8.5,699348
236,谍影重重2,2004,8.7,339509
237,千年女优,2001,8.8,252843
238,燃情岁月,1994,8.8,277764
239,哈利·波特与死亡圣器(上),2010,8.5,544253
240,芙蓉镇,1987,9.2,123973
241,阿飞正传,1990,8.5,489472
242,谍影重重,2002,8.6,409556
243,再次出发之纽约遇见你,2013,8.6,414535
244,弱点,2009,8.7,292587
245,朗读者,2008,8.6,443029
246,海洋,2009,9.1,153926
247,香水,2006,8.5,529795
248,穿越时空的少女,2006,8.6,370298
249,我爱你,2011,9.0,160539
250,地球上的星星,2007,8.9,198571
